date,/g/11bytn80mf,/m/01j6t0,/m/0ddwt,/m/029ggh,/m/0j5fv,/m/02656gy,/m/06gx48m,/m/0dl9s3k,/m/013677,/m/02bft,/m/0cnmb,/m/0k_9,/m/0m7pl,/m/01cdt5,/m/033mg5,/g/11qm6vy88k,/m/03l19k,/m/079p0q,/m/02np4v,/m/05sfr2,/m/03x69g,/m/04c_jpd
2020-03-13,99.86800206123,89.48768250737514,63.67113376845835,79.14475421553952,106.47902439416642,49.25586671601617,224.4381909968376,62.82368530175675,95.14398883071665,68.29065556911155,56.012625733653074,87.51832123666475,136.47960762160713,214.5948005881988,84.55152591945787,333.0751054530423,92.58394733307863,78.88213530877466,133.43120228919383,85.67572297048852,71.01026346478125,193.05487231405183
2020-03-14,97.34488080514902,92.56439431522254,65.36286884244755,87.14592379204359,112.51303098883442,60.847943153891606,233.97986578278937,63.76398490704719,105.12664436935385,67.47469400041128,63.95703173508047,79.34016879612363,167.3883736131529,231.56056254698441,90.57336118051978,423.81047316390664,92.89208023040894,87.65629162645364,135.86627605127904,153.56027107023462,55.00633038925096,142.8422342806983
2020-03-15,63.6752080663422,90.71087608978068,64.50685843663892,86.22733275940162,116.08250637977169,66.91205020940028,243.0310468566651,69.6566687583715,109.49315326774531,69.502030907028,61.72982468121809,83.12146017083123,219.45918787233396,240.08956413227685,90.0958340500921,554.8476596223061,89.02493411333765,81.65139862307674,141.77919358748804,167.8533612998844,58.997494082470624,154.5310179756302
2020-03-16,89.53214767763697,88.97042863729915,59.51924406377446,84.31721771967833,110.6648105039198,51.037310621953395,262.42684648357545,57.90976872646515,99.66395569072536,65.9281039794256,58.135846373510795,89.27688367107928,231.50733453571019,196.5135881020737,93.35582070348083,786.2112774591869,92.00820430357967,83.56048049851796,150.92849392783177,171.5487899129467,81.99078149076065,175.83542698111074
2020-03-17,82.53705709101317,93.14098661742734,60.77536036170096,85.40721166355047,123.81988169001784,54.261516520598136,294.04500501657134,58.643718157734135,99.76464333267577,60.95737202847755,52.60429139383845,88.39380667412722,264.2648099516686,246.2188801737702,88.02628194949921,838.9481737706745,186.9422179062505,74.88795989205443,160.64959147690539,300.64149627907534,78.97957252234814,181.5726349884254
2020-03-18,81.67271490991978,87.9165595195843,65.68751277171906,85.47081650234396,121.32805561694897,62.66503514128458,338.10043148601846,65.09637683143106,98.68255242530756,70.82389371657561,44.786671857400485,88.52177580429434,398.9485591537176,249.56515861805977,80.46132074608668,632.1083851105745,180.9356086908182,85.44173344406238,154.2428946358111,304.12148785500676,78.98397515052092,171.96205834794551
2020-03-19,72.05615198451298,92.23931014148609,64.07754087902312,89.81158771607517,118.8687063306196,56.290021899634574,327.1414816228675,57.73115978650525,104.18108243063685,67.98752286205324,49.19311081552883,90.22357419566282,465.14918731064284,262.0052104429075,89.22061586231209,920.6894040078826,256.85728795883665,89.95964191536589,163.83797110110754,421.1295281065385,72.99275324842188,160.30916386367045
2020-03-20,66.43435079843172,84.04222271319216,61.6234009395222,76.79659510283697,116.94870188953857,59.35413443407549,359.05938226391277,60.47271617923957,103.7300017820469,68.82444884367486,41.247217410792146,91.29077112241579,818.674261432253,266.55027441705835,85.29641143274743,774.7074682195367,177.16215760442205,77.3191464899643,175.34911233312587,528.082664327218,67.99926385728561,168.0046407633059
2020-03-21,78.81236450612575,92.13000327333529,69.88085536032396,85.91909425568817,125.4947646119943,59.1518738984087,353.90777756905106,72.40744856410346,112.35789577223589,63.96717379070955,45.650693544292814,94.26136817752504,1595.6554079310365,272.63645670512267,94.1785206223224,1132.4420659730358,136.0153163513318,70.1103439379934,172.07826444935898,970.7511560626768,62.98852583523523,146.72642100807045
2020-03-22,62.99530749549082,92.46842710997134,69.09667818583993,89.69879048483799,121.9580230277498,44.91178810795625,340.5375178639307,71.75751669555251,103.76987915204123,72.08814425575885,51.11557511053375,96.57478694633043,1967.2216651074352,261.0882077309004,91.26959890768593,988.9862997830376,130.51673997001788,80.70562469315325,180.11653394084044,1112.2930088374223,62.97923781713903,150.64196318307734
2020-03-23,78.33276633721094,88.00362501920941,73.20461255230981,85.86769846840481,117.67270987220517,64.42088668139803,359.6134285400046,60.7943914002418,101.06969171731726,65.39166324216733,46.468089012346155,99.47295697361864,2875.4996380047755,272.06904907255716,104.41123362338386,1089.465650182513,148.875205522317,76.28725621454717,184.74659147546524,1452.591804906896,79.98297600434043,148.6796118308718
2020-03-24,84.60192583425695,90.68301120927246,77.72160150315669,90.43706810684654,118.20154125419711,61.6453400690613,345.378697361312,71.23954810685376,107.71499897459226,69.8602575647205,59.213836265148345,101.48135620390993,2131.4050672009785,294.67765865848105,93.64369697074285,911.0429000609502,129.0982067570129,82.42826084986407,177.50119758169825,1067.5954036712021,80.98048272831586,142.91521435609695
2020-03-25,61.2322904573117,94.78678289168691,80.35824761723156,93.10055281363725,120.03611488391223,66.58467659902465,316.08030502764194,62.67223909531418,123.72380798863153,63.39008502129735,55.6556159838391,99.67789809452175,1557.9383469933612,278.0638165247199,90.61433736520961,914.4523894972355,256.27380738316265,83.73307458445369,175.41753142836882,1004.6735519572036,84.95501569397727,141.72592579313485
2020-03-26,58.57067523561942,96.14979588408377,80.99983731361813,93.51858967381632,117.36742887068607,129.63225084631236,314.1395698667643,60.78897373560513,111.45937188549262,66.20433309733187,71.88148493696157,104.7621206701344,1388.9398551176942,260.27141768491435,92.15759847755817,872.3642929270793,208.89241486739044,95.01353518016936,175.83153948477937,820.4210956091998,80.20839365092084,144.7944838822027
