date,Aching Muscle Pain,Fatigue,Insomnia,Palpitations,Headache,Clouding of consciousness,Chest Tightness,Hip pain,Myalgia,Major depressive disorder,Sleep disorder,Anxiety,Anosmia,Shortness of breath,Dizziness,Long Covid,Lightheadedness,Chest pain,Ageusia,Mental health,Hypochondriasis
20/4/2020,71.06475485,87.65481063,99.95051985,104.2930132,109.0650808,74.16743349,161.0698637,81.18345851,95.03615101,79.27425842,73.88495447,98.85743423,563.4230263,160.3925121,91.03035285,868.5719971,84.59968586,116.2811729,264.8659737,83.16594587,78.49062259
21/4/2020,76.3821238,88.63999407,104.1961816,104.3667367,106.0553739,79.10515131,154.1712158,76.14749432,92.50111877,82.49972606,73.96300571,95.60636261,510.4615213,159.5079628,90.93053409,721.3121118,83.75653227,119.1750079,306.5936387,82.27875548,91.07324711
22/4/2020,81.44868577,87.46681987,103.076694,95.66180954,102.7247553,64.75218691,130.1513524,75.20736041,90.48761202,77.52734205,65.10136757,94.45281419,519.2288503,153.7780435,87.38425686,698.9029382,82.74793947,114.853781,288.8077838,84.88764025,72.47037635
23/4/2020,66.51646463,83.76696376,99.88118047,96.72232595,107.9128858,69.09594655,157.472165,79.40680984,98.88072391,75.58315191,70.0278213,92.45008703,510.2092609,150.8661891,82.37564126,865.6597204,86.68831604,112.3487113,292.3628933,86.635445,75.40230894
24/4/2020,19.73114247,78.92825421,93.37322244,92.4112022,109.3274607,66.43411603,142.5618741,73.94616851,96.98653427,72.36249058,63.14911216,93.32714077,495.4245796,142.8553936,88.51155894,686.1837834,76.68381163,110.5489224,259.6157424,80.55126963,87.31276559
25/4/2020,65.76241161,91.48285868,96.56627877,107.5467944,123.6024131,74.17793318,166.8806146,83.09390197,101.2460933,75.94209522,63.15867524,92.27829742,448.273552,145.9060958,83.80583079,780.8889109,72.77120691,124.150433,301.943086,65.66084383,88.68788595
26/4/2020,63.15481215,89.33546637,100.8593347,103.2084658,123.2172428,80.43051576,175.1673321,88.8688946,107.5672099,71.6736054,68.70235955,101.4188501,545.9789226,150.9056076,90.41651999,678.374334,89.24344909,118.6192446,276.9391841,74.43837899,87.38111722
27/4/2020,76.92879137,88.70874994,97.78286837,94.94876621,106.0606394,69.60992993,151.217598,84.25714631,112.1067499,74.15509506,83.71945264,97.637266,542.8474365,153.204655,86.45459001,810.8048032,77.46862826,117.9105737,313.0492033,88.75379499,72.42160208
28/4/2020,62.65443281,91.4456719,95.65953714,101.5869004,104.7770473,61.91141009,136.1803894,77.87204428,99.99447726,79.96040505,65.28664348,99.54440569,475.7952307,147.5644317,90.55492572,697.1805573,82.50488219,107.8766969,311.8589655,90.62347247,73.49094044
29/4/2020,79.68176536,84.65286564,94.38415804,100.9990639,104.4023295,86.0899304,144.8875523,69.30829274,96.64057433,75.35729328,68.5948975,95.82194506,549.2466124,148.6331754,92.07754254,944.3689512,85.51056798,109.7070882,291.2406262,86.07537663,85.14394817
